singlish_content,transliterated_L1,man_written
(2/2)kamkaru departhamenthuwa danwai.durakathana anka 0112368502 ho email: irlabur456'gmail.com,( 2 / 2 ) කම්කරු දෙපර්තමෙන්තුව දන්වඉ . දුරකතන අන්ක 0112368502 හෝ‍ එමඉල් : ඉර්ලබුර්456 ' ග්මඉල් . කෝම්,(2/2)කම්කරු දෙපාර්තමේන්තුව දන්වයි .දුරකථන අංකය 0112368502 හෝ email: irlabur456'gmail.com
covid-19 nisa rekiya ahimi wu paudgalika anshaye rekiyawala niyuktha vuwanta e gena denumdena lesa(1/2),covid - 19 නිසා රෙකිය අහිමි වු පෞද්ගලික අන්ශයෙ රෙකියවල නියුක්ත වුවන්ට ඒ ගෙන දෙනුම්දෙන ලෙස ( 1 / 2 ),Covid 19 නිසා රැකියා අහිමි වූ පුද්ගලික අංශයේ රැකියා වල නියුතු වූවන්ට ඒ ගැන දැනුම් දෙන ලෙස
"dubai-hidi miya-giya sanvidanathmaka aparada kalli nayakayeku wana dinuka madushan hewath ""keselwatte dinuka""-ge dehaya diwainata ragena-ei.: police","දුබඉ - හිදි මිය - ගිය සන්විදනත්මක අපරද කල්ලි නයකයෙකු වන දිනුක මදුශන් හෙවත් "" කෙසෙල්වට්ටෙ දිනුක ""- ගෙ දෙහය දිවඉනට රගෙන - එඉ .: පෝලිකෙ",ඩුබායිහි දී මියගිය සංවිධානාත්මක අපරාධ කල්ලි නායකයකු වන දිනුක මධුෂාන් හෙවත්  කෙසෙල්වත්තේ දිනුක ගේ දේහය දිවයිනට රැගෙන එයි පොලිස්
"prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari","ප්‍රවහන එමති සමග සකච්චවෙන් පසු දුම්‍රිය එන්ගිනෙ රියදුරන් , නියමකඉන් එතුලු සෙවක පිරිසගෙ සකෙත වෙද වර්ජනය අවසන් කෙරෙ - දුම්‍රිය සමන්යදිකරි",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය එන්ජින් රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ දුම්රිය අමාත්‍යාංශය
update: locomotive engine riyaduran ha niyamakawarun aramba kala wedawarjanaya awasan karai - dumriya vurtheeya samithi,update : ලෝකෝමෝටිවෙ එන්ගිනෙ රියදුරන් හා නියමකවරුන් අරම්බ කල වෙදවර්ජනය අවසන් කරඉ - දුම්‍රිය වුර්තීය සමිති,Update : Locomotive engine රියදුරන් හා නියාමකවරුන් ආරම්භ කළ වැඩ වර්ජනය අවසන් කරයි දුම්රිය වෘතීය සමිති
"prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai","ප්‍රවාහන අමත්යවරය සමග පෙවති සකච්චවෙන් අනතුරුව , වෙද වර්ජනය අත්හිටුවීමට දුම්‍රිය වෘත්තිය සමිති තීරනය කරඉ",ප්‍රවාහන අමාත්‍යාංශය සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වැඩවර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි
"(2/2) sekakaruwan 02k athadanguwata, thawath ayeku palayai.: police","( 2 / 2 ) සෙකකරුවන් 02ක් අතදන්ගුවට , තවත් අයෙකු පලයඉ .: පෝලිකෙ",(2/2)සැකකරුවන් 02ක් අත්අඩංගුවට තවත් අයෙකු පලායයි police
"rs.koti 05k pamana watina kerala-ganja parsal 200k anuradhapura, isurupura pradeshaye niwadu nikethanayaka thibe soya gene; (1/2)","ර්ස් . කෝටි 05ක් පමණ වටින කෙරල - ගන්ජ පර්සල් 200ක් අනුරද්හපුර , ඉසුරුපුර ප්‍රදෙශයෙ නිවදු නිකෙතනයක තිබෙ සෝය ගෙනෙ ; ( 1 / 2 )",Rs කෝටි 05ක් පමණ වටිනා කේරළ ගංජා පාර්සල් 200ක් අනුරාධපුර isurupura ප්රදේශයේ නිවාඩු නිකේතනයක තිබී සොයා ගැනේ
"abaditha sebalekta paharadun bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata biyagama pradeshiya saba manthriwarayek athadanguwata","අබදිත සෙබලෙක්ට පහරදුන් බන්දරගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් , තර්ජනය කල සිද්දියකට බියගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් අතදන්ගුවට",ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට
locomotive engine riyaduran ha dumriya niyamakawarunge peya 24 sanketha weda warjanaya nisa seemitha dumriya gaman waara gananak ada kriyathmaka wei,ලෝකෝමෝටිවෙ එන්ගිනෙ රියදුරන් හා දුම්‍රිය නියමකවරුන්ගෙ පෙය 24 සන්කෙත වෙද වර්ජනය නිසා සීමිත දුම්‍රිය ගමන් වාර ගනනක් අද ක්‍රියත්මක වෙඉ,Locomotive engine රියදුරන් හා දුම්රිය නියාමකවරුන්ගේ පැය24 සංකේතවත් වැඩ වර්ජනය නිසා සීමිත දුම්රිය ගමන් වාර ගණනක් අද ක්‍රියාත්මක වෙයි
dumriya riyaduran saha niyamakawarun weda warjanayaka; dhawanaya wanne kaaryala dumriya kihipayak pamani,දුම්‍රිය රියදුරන් සහ නියමකවරුන් වෙද වර්ජනයක ; ද්හවනය වන්නෙ කාර්යල දුම්‍රිය කිහිපයක් පමනි,දුම්රිය රියදුරන් සහ නියාමකවරුන් වැඩ වැඩවර්ජනයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණයි
"update: swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka, anjalee, asanka ha nalaka edirisinghe marthu 30 dakwa remand- adaderana.lk","update : ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක , අන්ජලී , අසන්ක හා නලක එදිරිසින්ග්හෙ මර්තු 30 දක්වා රෙමන්ද් - අදදෙරන . ල්ක්",Update : ස්වර්නමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක අන්ජලී අසංක හා නාලක එදිරිසිංහ මාර්තු 30 දක්වා රිමාන්ඩ් adaderana.lk
thawath corona marana 03k wartha wei.marana sankyawa 537 dakwa ihalata.- saukya sewa adyaksha genaral.,තවත් කෝරෝන මරන 03ක් වර්ත වෙඉ . මරන සන්ක්යව 537 දක්වා ඉහලට .- සෞක්ය සෙව අද්යක්ශ ගෙනරල් .,තවත් කොරෝනා මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි මරණ සංඛ්‍යාව 537 දක්වා ඉහලට සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
"update: athadanguwata gath swarnamahal jewellers hitapu adyakshawarun wana jeewaka, deepa, asanka saha nalaka edirisinghe 03/30 dakwa remand.: reporter","update : අතදන්ගුවට ගත් ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අද්යක්ශවරුන් වන ජීවක , දීප , අසන්ක සහ නලක එදිරිසින්ග්හෙ 03 / 30 දක්වා රෙමන්ද් .: රෙපෝර්ටෙර්","Update : අත්අඩංගුවට ගත් ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂ වරුන් වන ජීවක, ද්ඊපා, අසංක සහ නාලක ඉදිරිසිංහ 03/30දක්වා remand . Reporter"
ada covid-19 asaditha marana 03 k wartha weemath samaga merata samastha marana ganana 537 dakwa ihalata - saukya amathyanshaya,අද covid - 19 අසදිත මරන 03 ක් වර්ත වීමත් සමග මෙරට සමස්ත මරන ගනන 537 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,අද covid 19 ආසාදිත මරණ 3ක් වාර්තා වාර්තා වීමත් සමග වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
thawath covid-19 marana 03k wartha-wei; samastha marana 537 dakwa ihalata.: information department,තවත් covid - 19 මරන 03ක් වර්ත - වෙඉ ; සමස්ත මරන 537 දක්වා ඉහලට .: ඉන්fඕර්මටිඕන් දෙපර්ට්මෙන්ට්,තවත් covid 19 මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි සමස්ත මරණ 537 දක්වා ඉහලට information department
update: thawath covid-19 asadithayin 140 deneku haduna ganne.ada wartha wu asadithayin ganana 322 dakwa ihalata - yuda hamudapathi,update : තවත් covid - 19 අසදිතයින් 140 දෙනෙකු හදුන ගන්නෙ . අද වර්ත වු අසදිතයින් ගනන 322 දක්වා ඉහලට - යුද හමුදපති,Update : තවත් covid 19 ආසාදිතයින් 140 දෙනකු හඳුනා ගැනේ අද වාර්තා වූ ආසාදිතයින් ගණන 322 දක්වා ඉහළට යුද හමුදා පති
"update - 03/23 dakwa remand kala hitapu emathi ravi karunanayake athulu 08-dena, welikada bandanagaraye nirodayana madyasthanaya wetha yomu kere","update - 03 / 23 දක්වා රෙමන්ද් කල හිටපු එමති රවි කරුනනයකෙ ඇතුළු 08 - දෙන , වෙලිකද බන්දනගරයෙ නිරෝදයන මද්යස්තනය වෙත යෝමු කෙරෙ",update : 03/23 දක්වා රිමාන්ඩ් කළ හිටපු ඇමති ඇමැති රවි කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයේ නිරෝධායන මධ්‍යස්ථානය වෙත යොමු කෙරේ
update: marthu 23 dakwa remand kala hitapu amathya ravi karunanayake ethulu 8 dena welikada bandanagaraye nirodayana madysthanayata,update : මර්තු 23 දක්වා රෙමන්ද් කල හිටපු අමත්ය රවි කරුනනයකෙ එතුලු 8 දෙන වෙලිකද බන්දනගරයෙ නිරෝදයන මද්ය්ස්තනයට,Update : මාර්තු 23 දක්වා remand  කළ හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයෙන් නිරෝධායන මධ්‍යස්ථානයකට
maha banku bendumkara chodanawata adalawa hitapu emathi ravi karunanayake athulu 08-dena 03/23 dakwa remand kirimata colamba mahadhikaranayen niyoga,මහ බන්කු බෙන්දුම්කර චෝදනවට අදලව හිටපු එමති රවි කරුනනයකෙ ඇතුළු 08 - දෙන 03 / 23 දක්වා රෙමන්ද් කිරිමට කෝලම්බ මහද්හිකරනයෙන් නියෝග,මහ බැංකු බැඳුම්කර චෝදනාවට අදාළව හිටපු ඇමැති රවි කරුණානායක ඇතුළු 8දෙනා 03/23 දක්වා රිමාන්ඩ් කිරීමට කොළඹ මහාධිකරණයෙන් නියෝග
2016 wasare sidu wu bedumkara wanchawata adalawa hitapu amathya ravi karunanayake ethulu 9 deneku marthu 23 dakwa remand,2016 වසරෙ සිදු වු බෙදුම්කර වන්චවට අදලව හිටපු අමත්ය රවි කරුනනයකෙ එතුලු 9 දෙනෙකු මර්තු 23 දක්වා රෙමන්ද්,2016 වසරෙහි සිදුවූ බැඳුම්කර වංචාවට අදාළව හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 9 දෙනෙකු මාර්තු 23 දක්වා remand
covid-19 asadithayin 182 deneku haduna ganne - yuda hamudapathi,covid - 19 අසදිතයින් 182 දෙනෙකු හදුන ගන්නෙ - යුද හමුදපති,Covid 19 ආසාදිතයින් 182 දෙනෙකු හඳුනා ගැනේ යුද හමුදා පති
update: azath salley thawaduratath randawagena prashna kirimata cid-yata awasara.: police spokesman,update : අzඅත් සල්ලෙය් තවදුරටත් රන්දවගෙන ප්‍රශ්න කිරිමට කිද් - යට අවසර .: පෝලිකෙ ස්පෝකෙස්මන්,update : අසාත් සාලි තවදුරටත් රඳවාගෙන ප්‍රශ්න කිරීමට CID ට අවසර : police spokesman
"update: swarnamahal jewellers hitapu adyakshawarun wana jeewaka, deepa, asanka ha nalaka edirisinghe kotuwa mahesthrath adikaranayata idiripath kere","update : ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අද්යක්ශවරුන් වන ජීවක , දීප , අසන්ක හා නලක එදිරිසින්ග්හෙ කෝටුව මහෙස්ත්‍රත් අදිකරනයට ඉදිරිපත් කෙරෙ","Update : සරණmahal  ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක, දීපා,අසංක, නාලක එදිරිසිංහ කොටුව මහේස්ත්‍රාත් අධිකරණයට ඉදිරිපත් කෙරේ"
"swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka, anjalee, asanka ha nalaka edirisinghe kotuwa mahesthrath adhikaranaya hamuwata","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක , අන්ජලී , අසන්ක හා නලක එදිරිසින්ග්හෙ කෝටුව මහෙස්ත්‍රත් අද්හිකරනය හමුවට","ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක  ,අන්ජලී, අසංක හා නාලක එදිරිසිංහ කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට"
dumriya riyaduran saha niyamakawarun aramba kala hadisi weda warjanaya thawakalikawa athhituwai.: trade unions,දුම්‍රිය රියදුරන් සහ නියමකවරුන් අරම්බ කල හදිසි වෙද වර්ජනය තවකලිකව අත්හිටුවඉ .: ට්‍රදෙ උනිඕන්ස්,දුම්රිය රියදුරන් සහ නියාමකවරුන් ආරම්භ කළ හදිසි වැඩ වර්ජනය තාවකාලිකව අත්හිටුවයි trade union
"thawath covid-19 asadithayin 354k suwaya laba pitawa yai; suwaya labu mulu sankyawa 85,725.: epid","තවත් covid - 19 අසදිතයින් 354ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 85 , 725 .: එපිද්","තවත් Covid 19 ආසාදිතයින් 354ක් සුවය ලබා පිටව යයි  සුවය ලැබූ මුළු සංඛ්‍යාව 85,725:EPID"
"dumriya engine riyadura niyamakain,aethulu sewakain pirisak arambha kala hadisi wedawarjanaya thawakalikawa athhituwai.","දුම්‍රිය එන්ගිනෙ රියදුර නියමකඉන් , අඑතුලු සෙවකඉන් පිරිසක් අරම්බ්හ කල හදිසි වෙදවර්ජනය තවකලිකව අත්හිටුවඉ .",දුම්රිය එන්ජින් රියදුරු නියාමකයින් ඇතුළු සේවකයින් පිරිසක් ආරම්භ කළ හදිසි වැඩ වර්ජනය තාවකාලිකව අත්හිටුවයි
dumriya riyaduran saha niyamakawarun hadisi weda warjanayak aramba karai.: trade unions,දුම්‍රිය රියදුරන් සහ නියමකවරුන් හදිසි වෙද වර්ජනයක් අරම්බ කරඉ .: ට්‍රදෙ උනිඕන්ස්,දුම්රිය රියදුරන් සහ නියාමකවරුන් හදිසි වැඩවර්ජනයක් ආරම්භ කරයි trade union
dumriya engine riyaduran niyamakain ethulu sewakain pirisak hadisi wruththiya samithi kriyamargayaka.dumriya gaman pramada wei.,දුම්‍රිය එන්ගිනෙ රියදුරන් නියමකඉන් එතුලු සෙවකඉන් පිරිසක් හදිසි වෘත්තිය සමිති ක්‍රියමර්ගයක . දුම්‍රිය ගමන් ප්‍රමද වෙඉ .,දුම්රිය එන්ජින් රියදුරන් රියදුරන් නියාමකයින් ඇතුළු සේවකයින් පිරිසක් හදිසි වෘත්තීය සමිති ක්‍රියාමාර්ගයක. දුම්රිය ගමන් ප්‍රමාද වෙයි
sakshi wasan kirime chodanawata adalawa athadanguwata gath cid hitapu adyaksha shani abeysekara athulu 03-dena marthu 31 dakwa yali remand.: reporter,සක්ශි වසන් කිරිමෙ චෝදනවට අදලව අතදන්ගුවට ගත් කිද් හිටපු අද්යක්ශ ශනි අබෙය්සෙකර ඇතුළු 03 - දෙන මර්තු 31 දක්වා යලි රෙමන්ද් .: රෙපෝර්ටෙර්,සත්‍ය වසන් කිරීමේ චෝදනාවට අදාළව අත ට අදාළව අත්අඩංගුවට ගත් CID හිටපු අධ්‍යක්ෂ ශානි අබේසේකර ඇතුළු තුන්දෙනා මාර්තු 31 දක්වා යළි remand  reporter
"2016 marthu 29,31 dinawala badumkara wendesiwala wanchawata adalawa neethipathi departhamentuwa colombo tripudgala mahadikaranaya hamuwe adhichodana gonu karai.","2016 මර්තු 29 , 31 දිනවල බදුම්කර වෙන්දෙසිවල වන්චවට අදලව නීතිපති දෙපර්තමෙන්ටුව කෝලෝම්බෝ ට්‍රිපුද්ගල මහදිකරනය හමුවෙ අද්හිචෝදන ගෝනු කරඉ .","2016 මාර්තු 29,31 දිනවල බැඳුම්කර වෙන්දේසි වල වංචාවට අදාළව අදාළව නීතිපති දෙපාර්තමේන්තුව colombo ත්‍රිපුද්ගල මහාධිකරණය හමුවේ අධි චෝදනා ගොනු කරයි"
(2/2)erehiwa panawa ethi waarana niyogaya colamba disa adhikaranayen may 7 dakwa thawaduratath deerga karai,( 2 / 2 ) එරෙහිව පනව එති වාරන නියෝගය කෝලම්බ දිස අද්හිකරනයෙන් මය් 7 දක්වා තවදුරටත් දීර්ග කරඉ,(2/2) එරෙහිව පනවා ඇති වාරණ නියෝගය කොළඹ දිසා අධිකරණයෙන් මැයි 7 දක්වා තවදුරටත් දීර්ඝ කරයි
george steuart health samagamata ha ehi sabapathita apahasa wana lesa puwath pala kireema walakwalamin mtv/sirasa ta(1/2),ගෙඕර්ගෙ ස්ටෙඋඅර්ට් හේල්ත් සමගමට හා එහි සබපතිට අපහස වන ලෙස පුවත් පල කිරීම වලක්වලමින් ම්ට්ව් / සිරස ට ( 1 / 2 ),George Steuart Health  සමාගමට හා එහි සභාපති අපහාස වන ලෙස වනලෙස පුවත් ලෙස පුවත් පල කිරීම වළක්වමින් MTV/සිරසට (1/2)
(2/2)parlimenthuwe dee viwadayata ganeema sadaha parlimenthu karaka sabha rasweeme dee theeranaya karai,( 2 / 2 ) පර්ලිමෙන්තුවෙ දී විවදයට ගනීම සදහ පර්ලිමෙන්තු කරක සබ්හ රස්වීමෙ දී තීරනය කරඉ,(2/2) පාර්ලිමේන්තුවේදී විවාදයට ගැනීම සඳහා පාර්ලිමේන්තු කාරක සභා රැස්වීමේදී තීරණය කරයි
paasku irudina praharaya gena wimarshanaya kala janadhipathi komisame warthawa marthu 25 ha 26(1/2),පාස්කු ඉරුදින ප්‍රහරය ගෙන විමර්ශනය කල ජනද්හිපති කෝමිසමෙ වර්තව මර්තු 25 හා 26 ( 1 / 2 ),පාස්කු ඉරුදින ප්‍රහාරය ගැන විමර්ශනය කළ ජනාධිපති කොමිසමේ වාර්තාව මාර්තු 25  හා  26
bedumkara wanchawata adalawa 2016 marthu 29 ha 31 sidu wu bedumkara wendesiya pilibanda neethipathi vishesha mahadhikaranaye adhi chodana gonu karai,බෙදුම්කර වන්චවට අදලව 2016 මර්තු 29 හා 31 සිදු වු බෙදුම්කර වෙන්දෙසිය පිලිබන්ද නීතිපති විශේෂ මහද්හිකරනයෙ අද්හි චෝදන ගෝනු කරඉ,බැඳුම්කර වංචාවට අදාලව 2016 මාර්තු 29 හා 31 සිදු වූ බැඳුම්කර වෙන්දේසිය පිළිබඳ නීතිපති විශේෂ මහාධිකරණයේ අධිචෝදනා ගොනු කරයි
2016 marthu 29 ha 31 bendumkara wendesi waladi sidu-wu wancha gena neethipathi wisin colamba thri-pudgala mahadikaranaya hamuwe adhi-chodana gonu karai,2016 මර්තු 29 හා 31 බෙන්දුම්කර වෙන්දෙසි වලදි සිදු - වු වන්ච ගෙන නීතිපති විසින් කෝලම්බ ත්‍රි - පුද්ගල මහදිකරනය හමුවෙ අද්හි - චෝදන ගෝනු කරඉ,2016 මාර්තු 29 හා 31 31 බැඳුම්කර වෙන්දේසි වල දී සිදු වූ   වංචා ගැන නීතිපති විසින් කොළඹ ත්‍රිපුද්ගල මහාධිකරණය හමුවේ  අධිචෝදනා ගොනු කරයි
"update - cid athadanguwata path azath salley-ge motor rathaye thibi, vides rataka nishpaditha pistholayak soya-gane.: police spokesman","update - කිද් අතදන්ගුවට පත් අzඅත් සල්ලෙය් - ගෙ මෝටෝර් රතයෙ තිබි , විදෙස් රටක නිශ්පදිත පිස්තෝලයක් සෝය - ගනෙ .: පෝලිකෙ ස්පෝකෙස්මන්",Update : CID අත්අඩංගුවට පත් අසාත් සාලිගේ මෝටර් රථයේ තිබී විදෙස් රටක නිෂ්පාදිත පිස්තෝලයක් සොයාගැනේ police spokesman
(2/2)nalaka edirisinghe ada kotuwa mahesthrath adhikaranaya hamuwata,( 2 / 2 ) නලක එදිරිසින්ග්හෙ අද කෝටුව මහෙස්ත්‍රත් අද්හිකරනය හමුවට,(2/2)නාලක එදිරිසිංහ අද කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට
"athadanguwata gath swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka edirisinghe, anjalee edirisinghe asanka edirisinghe ha(1/2)","අතදන්ගුවට ගත් ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක එදිරිසින්ග්හෙ , අන්ජලී එදිරිසින්ග්හෙ අසන්ක එදිරිසින්ග්හෙ හා ( 1 / 2 )",අත්අඩංගුවට ගත් සරණ මහා ජුවලර්ස් යි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක එදිරිසිංහ අන්ජලී එදිරිසිංහ අසංක එදිරිසිංහ හා (1/2)
randawagena prashna karana hitapu andukara azath sally ge motor rathaye thibee vides rataka nishpaditha pistholayak cid ya soya ganne,රන්දවගෙන ප්‍රශ්න කරන හිටපු අන්දුකර අzඅත් සල්ල්ය් ගෙ මෝටෝර් රතයෙ තිබී විදෙස් රටක නිශ්පදිත පිස්තෝලයක් කිද් ය සෝය ගන්නෙ,රඳවාගෙන ප්‍රශ්න කරන හිටපු ආණ්ඩුකාර අසාත් සාලිගේ මෝටර් රථයේ තිබී විදෙස් රටක නිෂ්පාදිත පිස්තෝලයක් CID සොයා ගැනේ
rs.miliyana 20 ka heroin 2kg samaga pudgalayeku rajagairiye dee stf athadanguwata,ර්ස් . මිලියන 20 ක හෙරෝඉන් 2ක්ග් සමග පුද්ගලයෙකු රජගඉරියෙ දී ස්ට්f අතදන්ගුවට,Rs මිලියන 20ක හා හෙරොයින් 2kg සමග සමඟ පුද්ගලයෙකු රාජගිරියේ දී STF අත්අඩංගුවට
stf rajagiriye kala wetalimakin rs.koti 02ta adika watinakamin yuth heroin 2kg k samaga sekakaruweku athadanguwata.-stf,ස්ට්f රජගිරියෙ කල වෙටලිමකින් ර්ස් . කෝටි 02ට අදික වටිනකමින් යුත් හෙරෝඉන් 2ක්ග් ක් සමග සෙකකරුවෙකු අතදන්ගුවට .- ස්ට්f,STF රාජගිරියේ දී කළ වැටලීමකින් rs කෝටි 2කට අධික වටිනාකමකින් යුතු හෙරොයින් සමග  සැකකරුවෙකු අත්අඩංගුවට STF
update: thawath covid-19 asadithayin 120 deneku haduna ganne.ada wartha wu asadithayin ganana 274 dakwa ihalata - yuda hamudapathi,update : තවත් covid - 19 අසදිතයින් 120 දෙනෙකු හදුන ගන්නෙ . අද වර්ත වු අසදිතයින් ගනන 274 දක්වා ඉහලට - යුද හමුදපති,Update : තවත් covid 19  ආසාදිතයින් 120 දෙනෙකු හඳුනා ගැනේ අද වාර්තා වූවා වූ ආසාදිතයින් ගණන 274 දක්වා ඉහලට යුද හමුදා පති
covid-19 asaditha marana 02 k ada wartha weemath samaga merata samastha marana 534 dakwa ihalata - saukya amathyanshaya,covid - 19 අසදිත මරන 02 ක් අද වර්ත වීමත් සමග මෙරට සමස්ත මරන 534 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,covid 19 ආසාදිත මරණ මරණ 2ක් අද වාර්තා වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 534 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
palath sabha jandaya kadinamin pewethweemata janadhipathiwaraya  sagama pewathi sakachchawedi.. (1/2),පලත් සබ්හ ජන්දය කදිනමින් පෙවෙත්වීමට ජනද්හිපතිවරය සගම පෙවති සකච්චවෙදි .. ( 1 / 2 ),පළාත් සභා ඡන්දය කඩිනමින් පැවැත්වීමට ජනාධිපතිවරයා සමග පැවති සාකච්ඡාවේදී (1/2)
